state,district,alt_district_names,GHI_kWhperm2_day,wind_energy_kWhperm2_100m_day,wind_energy_kWhperm2_150m_day,wind_energy_kWhperm2_200m_day,avg_temp_C,min_temp_C,max_temp_C,population_oct25,per_capita_consumption_kWh,total_energy_consumption_district_yearly_MW,dist_to_nearest_substation_km,dist_to_nearest_plant_km,total_area_km2,shrubland_area_km2,Grassland_km2,Cropland_km2,Builtup_km2,vegetation_km2,water_bodies_km2,Herbaceous_km2,Mangroves_km2,snow_ice_km2,moss&lichen_km2
Karnataka,Haveri,,5.410306343,1.403904534,1.905017608,2.374360889,24.72119039,16.21198578,35.41365051,1523575,1375.562323,239.2434209,8.00521355,87.51975885,4944.416223,347.5558167,181.1974912,3782.63154,111.7964935,18.14404835,37.16356849,0.300583483,,,
Karnataka,Kodagu,Coorg,4.989520962,0.836938527,1.143404552,1.40732774,22.03897164,16.19697266,30.91646484,1006092,1375.562323,157.984275,73.18499186,40.33316565,4182.116374,0.003583453,354.7549745,123.7917624,26.01689545,0.848083969,14.41648894,0.043342722,,,
Karnataka,Kolar,,5.441635908,1.312104805,1.787335708,2.239660485,23.56424339,14.87026439,34.58145321,1875700,1375.562323,294.5367865,56.31323849,60.72309158,4068.422271,913.9559474,156.4957232,2505.313675,128.9097871,31.81296066,22.40383591,0.384965278,,,
Karnataka,Koppal,,5.45921963,1.477273285,2.024342093,2.55254071,25.96016412,16.62901986,36.54948561,1401118,1375.562323,220.0142844,23.89264675,155.2770628,5751.933793,634.0583756,203.7197517,4557.500351,106.0499994,54.23932113,64.00397565,40.44080726,,,
Karnataka,Mandya,,5.448527673,0.968538128,1.369219428,1.766352909,24.01564087,16.25634908,34.14212959,2330320,1375.562323,365.9247024,64.66743471,91.23612529,5034.855249,212.4128684,1235.842122,1568.415947,182.5536577,11.87931862,112.9112035,0.268929645,,,
Karnataka,Mysore,,5.381576373,0.976559174,1.366381801,1.742854431,23.33572023,16.10309414,33.17635705,3189447,1375.562323,500.831407,73.94839935,61.97740311,6427.40102,24.7724986,1159.819756,2933.308805,243.5227043,5.818845741,126.4689434,0.476940582,,,
Karnataka,Raichur,,5.434721102,1.165283228,1.633842407,2.102733896,27.14359851,17.26155599,37.83702257,1934726,1375.562323,303.8055013,12.99950377,60.65976178,8755.906336,858.4427939,179.8507953,7250.547139,141.9640518,57.51664522,82.43683328,0.568318643,,,
Karnataka,Ramanagara,,5.361389532,0.91908959,1.300707897,1.675690721,24.06025565,16.01473858,34.65330529,1688583,1375.562323,265.1542414,41.45024398,35.4342806,3585.490667,491.9985944,811.3644924,918.2359558,118.554204,11.90713305,30.16789959,0.428819922,,,
Karnataka,Shimoga,,5.274079279,0.944655716,1.298711572,1.619308401,23.88518097,16.00155001,33.36255829,2134902,1375.562323,335.2386707,33.34270534,56.41055266,7950.87628,26.61319915,1030.375778,1526.776645,77.09339236,9.708940355,287.3245349,0.260056332,,,
Karnataka,Tumkur,,5.444560143,1.008247648,1.430779144,1.849742745,24.24959304,16.12551109,35.66328447,3906951,1375.562323,613.4993829,23.75139818,74.3924663,10864.58035,2515.156995,494.1439738,5194.147516,261.7065119,50.44939257,87.28797597,2.194097318,,,
Karnataka,Udupi,,5.139479382,0.322640565,0.442811638,0.550110465,25.92124493,19.08752259,33.73849624,3298276,1375.562323,517.9205705,29.44147238,96.45615998,4003.308022,0.063478317,301.6003306,186.9704346,61.0173379,6.471204898,59.52397636,0.881358893,5.712110022,,
Karnataka,UttaraKannada,,5.215874722,0.709608423,1.005555374,1.269322155,24.71834494,,,1748621,1375.562323,274.5818682,22.11608742,53.31772924,10599.93507,77.39235476,588.5849493,710.7086995,42.0689749,11.50936972,256.3162301,2.149816072,23.8466025,,
Karnataka,Yadgir,,5.407906955,1.058827213,1.502179395,1.94319384,27.0343443,16.44734659,38.82139868,1019457,1375.562323,160.0829497,50.41732744,51.66563042,5477.076689,554.8324872,126.7707214,4435.721892,77.1136986,31.1383329,89.53044991,0.556117838,,,
Kerala,Alappuzha,Alleppey,5.285116995,0.219376659,0.307554355,0.386153237,26.52628465,-1.06E+37,-1.06E+37,2702043,844.1016754,260.3651853,7.419935822,10.95771447,1259.589753,0.279594685,26.75636665,191.7865107,61.85637791,0.960194868,82.29776116,94.8540112,0.910623762,,
Kerala,Ernakulam,,5.122306524,0.163260188,0.248110989,0.328683603,25.93735945,21.79858918,33.18446902,5087696,844.1016754,490.2434609,11.04990334,8.001045687,2279.765487,0.53274007,104.3405215,38.8306422,209.1360562,2.68178826,73.51787376,6.115077887,2.843555584,,
Kerala,Idukki,Idikki,4.834299698,1.238067776,1.538820609,1.797844049,21.80076212,16.5830105,29.43046285,1004400,844.1016754,96.78261676,19.46547228,40.06622232,5053.396463,0.002303649,631.9810818,5.349925269,29.58567374,1.018809927,97.79525855,0.11782736,,,
Kerala,Kannur,Cannanore,5.059966995,0.292557347,0.399483775,0.495621212,25.34345812,20.10247204,33.09279977,2463877,844.1016754,237.4158338,53.72020331,17.43846644,2829.158975,0.138986799,86.46156336,28.14802637,61.83718084,4.624702559,39.51346071,1.295930322,7.037902455,,
Kerala,Kasaragod,,5.138325719,0.238565929,0.333613598,0.418331754,25.99696888,20.30012974,33.49394474,1872391,844.1016754,180.421048,86.90531294,17.60518491,1992.819519,0.040953753,123.4362327,20.89469011,40.60479291,3.726279602,21.92535956,0.509788905,1.479624968,,
Kerala,Kollam,Quilon,5.103518468,0.685903889,0.950961392,1.198827007,25.70192986,21.28795277,32.46237737,2878991,844.1016754,277.4156537,24.66762615,4.988256527,2427.298055,0.03208044,47.68893898,10.14236757,80.83528558,1.367087468,106.2069035,3.738736369,0.251865581,,
Kerala,Kottayam,,5.06954847,0.195342951,0.288891076,0.379119169,25.61062901,21.42903355,32.82103911,2350333,844.1016754,226.4748885,11.35107745,8.895258786,2128.114849,0.088989092,39.74817691,157.6700721,58.98620239,0.365000324,21.01763669,54.7729144,0.004863258,,
Kerala,Kozhikode,Calicut,4.992190094,0.232396024,0.315906324,0.392405239,25.45809475,-7.56E+36,-7.56E+36,1979437,844.1016754,190.7358548,13.26461484,20.47807037,2312.102997,0.008361391,27.64864654,11.33847312,46.26280985,1.394816571,43.2367541,3.712457711,0.087026725,,
Kerala,Malappuram,,5.047328578,0.265505672,0.374100791,0.478484215,25.35553328,19.94415583,32.61149222,3247087,844.1016754,312.8848832,25.79800018,16.15205004,3558.086549,0.023292447,81.95153131,90.61640692,79.42024809,5.450006003,41.12610006,15.80098176,0.145641784,,
Kerala,Palakkad,Palghat,5.078814801,1.510718687,1.960342003,2.355541072,24.80218903,19.35759888,32.65660095,3081544,844.1016754,296.9333851,15.75249751,2.105414842,4541.178404,0.011603563,324.51916,436.2419367,93.64024434,5.330045634,48.81730019,1.625010791,,,
Kerala,Pathanamthitta,,4.953549732,0.532619091,0.732741751,0.921883923,24.4981206,19.99392465,31.61134691,1696808,844.1016754,163.5021091,29.81705802,21.65713792,2664.165433,0.008361391,65.7396469,25.84275667,34.5790454,0.916596185,27.23330723,11.23702726,,,
Kerala,Thiruvananthapuram,Trivandrum,5.145435512,0.5697338,0.79514746,1.00075208,25.67184917,-8.50E+36,-8.50E+36,3539336,844.1016754,341.045599,12.57618786,13.72541494,2062.324778,0.009641196,32.53792741,6.558402264,123.2695168,3.509395352,29.92422476,1.302073385,,,
Kerala,Thrissur,Trichur,5.12130954,0.569233553,0.8084542,1.034615739,26.09978917,21.09677734,33.0703924,4305448,844.1016754,414.8671085,12.10621243,10.18575128,2982.89433,0.10963661,91.71806288,250.574514,117.6086843,1.531670363,58.90019951,14.57126,1.480819453,,
Kerala,Wayanad,Wynaad|Wynad,4.977041949,0.503128901,0.680685647,0.83037253,22.00194773,15.82718676,30.07783544,790742,844.1016754,76.19482272,32.44219414,8.342355894,2161.771923,8.53E-05,127.529475,63.8404166,19.73979427,0.420799812,12.56751232,0.094876194,,,
Lakshadweep,Lakshadweep,,5.431020636,0.912898817,0.963785166,0.991567013,27.41133721,,,67862,818.7058824,6.34235372,329.480551,313.430716,0,,,,,,,,,,
MadhyaPradesh,AgarMalwa,,5.304887718,1.202373204,1.811566145,2.419575214,25.61529898,10.17863548,42.28912464,632267,1231.825763,88.90899308,0.372482444,281.6075847,3013.861681,6.080352518,562.6969729,2133.70333,40.30301494,23.27990494,45.49646275,,,,
MadhyaPradesh,Alirajpur,,5.376795189,1.248340711,1.672828137,2.028687046,25.89001014,12.00687725,40.32989032,1160804,1231.825763,163.231538,69.00262497,274.338217,3586.288412,39.33266696,1266.912199,1540.631641,12.24679324,7.080477294,38.28501876,,,,
MadhyaPradesh,Anuppur,,5.240131234,0.474171911,0.697306838,0.893513572,23.94323707,9.85365118,40.11495333,917219,1231.825763,128.9787665,13.31336996,255.7293193,2193.281826,11.73828414,573.2575807,1007.163362,35.34479526,17.1998937,20.40955877,0.001279805,,,
MadhyaPradesh,Ashoknagar,,5.230965458,0.817936871,1.258046993,1.681709581,24.97954152,9.163449405,42.33912504,969831,1231.825763,136.3770332,44.20559607,108.2168649,5173.595046,289.2461191,732.029138,3798.479704,42.49984251,14.5964295,83.60793998,0.016210861,,,
MadhyaPradesh,Balaghat,,5.229710567,0.483681265,0.738057657,0.965445799,25.40692404,10.93153787,40.66541609,2325183,1231.825763,326.9657902,67.32578795,202.1264228,9929.54423,52.30758379,1088.34155,3097.186016,91.98750445,38.04407418,70.42211131,0.357833417,,,
MadhyaPradesh,Barwani,,5.292746704,1.2931112,1.688102396,2.031828799,26.06049656,12.1825002,41.37789917,1649763,1231.825763,231.988649,86.06923982,181.1744508,5818.196624,202.9681651,2625.828796,2446.904238,49.61461857,60.99515461,80.06680547,,,,
MadhyaPradesh,Betul,,5.243538847,0.988688739,1.378841188,1.73040596,24.64658454,11.47107728,40.54560374,2064415,1231.825763,290.2967559,42.58780975,62.90599848,10808.79955,72.52457461,2738.77097,4692.792354,75.91221787,28.85592905,53.60590308,0.092401905,,,
MadhyaPradesh,Bhind,,4.964715998,0.726150298,1.14916865,1.559178392,25.46550652,7.516488718,43.00714253,1347074,1231.825763,189.4247097,101.374355,169.1623562,4970.678499,6.827587869,651.8688215,3856.542911,101.5008906,30.51557989,35.40451948,0.35868662,,,
MadhyaPradesh,Bhopal,,5.23195442,0.978417916,1.48488015,1.979345519,25.21623377,10.57649087,42.25435768,2988296,1231.825763,420.2123287,113.0010269,135.5660246,2955.759653,64.92099844,396.0533363,1988.122038,171.3955517,9.187121285,62.44739176,0.022695205,,,
MadhyaPradesh,Burhanpur,,5.258730524,0.961841093,1.34595155,1.702301764,26.16241889,12.86555218,41.77924215,649793,1231.825763,91.37348833,87.21126472,78.12891666,3421.612945,40.8633988,1111.240499,1470.850029,35.77890504,9.184988277,26.98408658,,,,
MadhyaPradesh,Chhatarpur,Chhatapur|Chatarpur,5.166555552,0.632525633,0.958409532,1.263975537,25.44386502,8.834414598,42.6195247,1968654,1231.825763,276.8309035,112.1261362,91.57662695,9557.930984,291.3473026,1782.018522,6191.821552,116.3958559,22.94024475,83.29088967,0.565503073,,,
MadhyaPradesh,Chhindwara,,5.24689864,1.076287317,1.506765422,1.89773347,24.54124361,10.59821585,40.35531713,2660918,1231.825763,374.1766375,67.27085294,85.98106585,12696.62363,82.11372524,3731.152246,5382.054597,103.0941623,37.59144989,115.1939486,,,,
MadhyaPradesh,Damoh,,5.212088257,0.796025637,1.177499434,1.538394204,25.18331426,9.651286754,42.41254088,1322519,1231.825763,185.9718009,87.85026594,129.3685915,8005.765913,373.7859276,2942.669212,4126.230712,58.80378754,23.72186419,51.67220338,0.01604022,,,
MadhyaPradesh,Datia,,5.075137608,0.599608253,0.945563879,1.281103389,25.64237814,7.991622637,43.32811579,693762,1231.825763,97.55638181,40.34390025,123.3000913,2790.256664,77.02453886,288.1029975,2151.094768,47.83961466,11.27968742,18.12630172,0.435048305,,,
MadhyaPradesh,Dewas,,5.249184277,0.916996742,1.389897789,1.841481476,25.73608665,11.13589379,42.02451644,2141432,1231.825763,301.1268386,22.77379315,210.9915548,7514.298182,227.1604002,912.1939975,4781.019621,115.6347134,10.35387664,34.71316894,,,,
MadhyaPradesh,Dhar,,5.327022097,1.083990067,1.547765129,1.969494262,25.75282517,10.99093192,41.17864853,3123003,1231.825763,439.1547434,16.57902353,236.7156679,8772.137162,45.5160011,2004.309606,5871.627449,152.8625281,45.52385057,82.43555348,,,,
MadhyaPradesh,Dindori,,5.187524634,0.566375997,0.800970636,0.999187568,23.49509401,8.606992107,39.68028877,809774,1231.825763,113.8699172,74.80785819,298.4855982,7013.919852,15.63998231,1769.04497,2371.998885,15.30586795,11.55595462,33.79222142,0.000682563,,,
MadhyaPradesh,EastNimar,Khandwa,5.26990707,0.83235064,1.243016543,1.641197446,26.40019214,12.38717409,42.29864986,1520074,1231.825763,213.7518624,40.31442114,144.300179,7996.240753,151.1359861,1672.681728,4152.950988,87.76670828,24.89501857,656.4761187,,,,
MadhyaPradesh,Guna,Goona,5.259808262,0.843117875,1.274548941,1.662669727,25.16575448,9.683266142,42.4663545,1385676,1231.825763,194.852899,19.34347331,183.1232739,6894.892462,227.7453563,1342.21139,4726.382452,65.33574051,22.05214555,45.79841135,,,,
MadhyaPradesh,Gwalior,"Gird,GirdGwalior",5.090911585,0.780354827,1.183292932,1.562469686,25.44144438,7.62452967,42.55896427,2261728,1231.825763,318.0427875,90.38675969,162.3738929,5075.075418,341.6873145,1489.635345,2692.235733,136.8679545,21.68194069,40.85606125,0.46047376,,,
